section,quantity,parameter,output,value,unit,tag,note
evpi_group,evpi,dummy_null,npv_musd,0.0015903168893736108,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: dummy"
evpi_group,standard_error,dummy_null,npv_musd,0.026740669002958416,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: dummy"
evpi_group,ci95_low,dummy_null,npv_musd,-0.05082139435642488,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: dummy"
evpi_group,ci95_high,dummy_null,npv_musd,0.0540020281351721,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: dummy"
evpi_group,switch_fraction,dummy_null,npv_musd,0.0,fraction,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: dummy"
evpi_group,cost,dummy_null,,0,USD,DERIVED,"sum of the per-parameter measurement costs in memo_run.MEASUREMENT_COSTS; upper bound, shared sample preparation not netted out"
evpi_group,evpi,all_nine,npv_musd,0.17932231303937485,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm, mass_yield_flot, mass_yield_leach, price, capex_musd, discount_rate, power_price, reagent_price"
evpi_group,standard_error,all_nine,npv_musd,0.6141978670758237,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm, mass_yield_flot, mass_yield_leach, price, capex_musd, discount_rate, power_price, reagent_price"
evpi_group,ci95_low,all_nine,npv_musd,-1.0245055064292397,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm, mass_yield_flot, mass_yield_leach, price, capex_musd, discount_rate, power_price, reagent_price"
evpi_group,ci95_high,all_nine,npv_musd,1.3831501325079893,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm, mass_yield_flot, mass_yield_leach, price, capex_musd, discount_rate, power_price, reagent_price"
evpi_group,switch_fraction,all_nine,npv_musd,0.09375,fraction,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm, mass_yield_flot, mass_yield_leach, price, capex_musd, discount_rate, power_price, reagent_price"
evpi_group,cost,all_nine,,215478.0,USD,DERIVED,"sum of the per-parameter measurement costs in memo_run.MEASUREMENT_COSTS; upper bound, shared sample preparation not netted out"
evpi_ceiling,evpi_all_mean,all_nine,npv_musd,0.40302650858599587,MUSD,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,sd_across_seeds,all_nine,npv_musd,0.004226154501088002,MUSD,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,within_run_standard_error,all_nine,npv_musd,0.003962028533423021,MUSD,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,min,all_nine,npv_musd,0.3988831761810968,MUSD,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,max,all_nine,npv_musd,0.40890706384086817,MUSD,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,seed_sd_over_within_run_se,all_nine,npv_musd,1.0666643274870076,ratio,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,ceiling_pct_of_prior_value,all_nine,npv_musd,2.125525445050602,percent,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,prior_best_value,all_nine,npv_musd,18.961264826279276,MUSD,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,evpi_all_by_seed,seed_1234,npv_musd,0.40890706384086817,MUSD,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,fraction_of_draws_where_information_binds,seed_1234,npv_musd,0.08531,fraction,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
evpi_ceiling,evpi_all_by_seed,seed_4321,npv_musd,0.3988831761810968,MUSD,COMPUTED,"paired estimator d_k = max_a V(a,theta_k) - V(a*,theta_k), 200,000 draws x 4 seeds; cancels the shared NPV variance"
